                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.956,                 2.3032,                  1.212,                0.65815,                0.19207,                0.19966,                0.08164,                 2.0052,                 1.6228,                 1.3478,             0.00047212,             0.00047212,             0.00047212
                      2,                 2.1005,                  1.699,                  1.321,                0.07903,                0.11559,                0.02634,                0.00819,                 2.6454,                  16.92,                 1.6308,             0.00092967,             0.00092967,             0.00092967
                      3,                 2.1662,                 1.6926,                 1.3244,                0.26086,                0.17516,                0.14895,                 0.0608,                 2.2376,                 1.8767,                 1.6241,              0.0013684,              0.0013684,              0.0013684
                      4,                 2.1177,                 1.6226,                  1.339,                 0.3044,                  0.222,                0.21258,                0.08518,                 2.1251,                 1.6642,                 1.4809,              0.0013441,              0.0013441,              0.0013441
                      5,                 2.1048,                 1.6068,                 1.3183,                0.73224,                0.21892,                0.23152,                0.09068,                 2.0063,                 1.9028,                 1.3918,              0.0013158,              0.0013158,              0.0013158
                      6,                 2.0324,                 1.5003,                 1.2773,                0.71955,                0.27508,                0.26903,                0.11091,                 1.9673,                 1.2938,                 1.3977,              0.0012875,              0.0012875,              0.0012875
                      7,                 2.0198,                 1.4019,                 1.2393,                0.72348,                0.24428,                0.24655,                0.09649,                 2.0782,                 1.6937,                 1.4378,              0.0012592,              0.0012592,              0.0012592
                      8,                 2.0108,                 1.4299,                 1.2799,                0.40461,                0.27066,                0.27662,                0.11849,                 1.8941,                 1.2533,                 1.3564,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.9322,                 1.3705,                 1.2314,                0.43235,                0.26823,                0.27966,                0.11839,                 1.8495,                   1.47,                 1.3072,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.9272,                 1.3264,                 1.2379,                0.40962,                0.27589,                0.28701,                0.12339,                  1.886,                 1.2805,                 1.3559,              0.0011744,              0.0011744,              0.0011744
                     11,                  1.865,                 1.2734,                  1.194,                0.41753,                0.28531,                0.29295,                0.13068,                 1.8353,                 1.2431,                 1.3156,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.8887,                 1.2828,                 1.2148,                0.41944,                0.28387,                 0.3023,                0.13294,                  1.856,                  1.214,                 1.3634,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.8422,                 1.2725,                 1.1979,                0.39497,                0.29847,                0.29772,                0.12932,                 1.8317,                 1.4269,                  1.296,              0.0010895,              0.0010895,              0.0010895
                     14,                   1.83,                 1.2409,                 1.1888,                0.43132,                0.28603,                0.30469,                0.13294,                 1.7937,                 1.2334,                  1.297,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.8559,                  1.253,                 1.1866,                0.40763,                0.30351,                0.31368,                0.13852,                 1.8038,                  1.197,                 1.2826,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.8048,                 1.2089,                 1.1517,                0.43999,                0.30556,                0.32749,                 0.1443,                 1.7787,                 1.1597,                   1.29,              0.0010046,              0.0010046,              0.0010046
